record_id,complaint_num,pdf_filename,pdf_url,block_position,offense,date,location,lat,long,zone_id,zone_name,year,month,day,date_str
6067,23-07158,summary_report_14-november-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_14-november-2023.pdf,2,ASSAULT / WARRANT ARREST,2023-11-13,200 BLOCK OF LAKE,41.8885093,-87.7800835,3,Zone 3,2023,11,13,2023-11-13
6068,23-06945,summary_report_03-november-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_03-november-2023.pdf,4,CRIMINAL TRESPASS TO RESIDENCE ARREST,2023-11-02,600 BLOCK OF N. CUYLER,41.8964171,-87.78330799999999,1,Zone 1,2023,11,2,2023-11-02
6069,23-05506,weekend_summary_01sep_-_04sep_2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/weekend_summary_01sep_-_04sep_2023.pdf,7,DUI ARREST,2023-09-02,800 BLOCK OF S. OAK PARK AVE,41.8741647,-87.7938147,6,Zone 6,2023,9,2,2023-09-02
6070,23-05260,summary_report_24-august-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_24-august-2023.pdf,3,RETAIL THEFT,2023-08-23,400 BLOCK OF N. HARLEM,41.8871362,-87.8049887,3,Zone 3,2023,8,23,2023-08-23
6071,23-05112,summary_report_21-aug-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_21-aug-2023.pdf,3,BURGLARY FROM MOTOR VEHICLE,2023-08-17,400 BLOCK OF SOUTH WESLEY AVE.,41.881447,-87.7908312,4,Zone 4,2023,8,17,2023-08-17
6072,23-03108,summary_report_29-may-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_29-may-2023.pdf,14,RECOVERED STOLEN MOTOR VEHICLE,2023-05-29,4100 BLOCK OF WEST GLADYS AVE. IN CHICAGO,41.876327,-87.72813450000001,,,2023,5,29,2023-05-29
6073,23-02266,summary_report_19-apr-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_19-apr-2023.pdf,2,RETAIL THEFT,2023-04-17,1100 BLOCK OF LAKE,41.8889519,-87.80295470000002,3,Zone 3,2023,4,17,2023-04-17
6074,23-01260,summary_report_06-mar-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_06-mar-2023.pdf,5,OUTSIDE WARRANT ARREST,2023-03-03,123 MADISON ST. (OAK PARK POLICE DEPARTMENT),41.8793525,-87.77885289999999,6,Zone 6,2023,3,3,2023-03-03
6075,23-01119,summary_report_27-feb-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_27-feb-2023.pdf,5,THEFT,2023-02-24,800 BLOCK OF WASHINGTO BLVD.,41.881919,-87.7946795,5,Zone 5,2023,2,24,2023-02-24
6076,23-00434,summary_24-jan-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_24-jan-2023.pdf,4,RECOVERED STOLEN AUTO,2023-01-24,200 BLOCK OF NORTH LATROBE IN CHICAGO,41.8844441,-87.7567485,,,2023,1,24,2023-01-24
6077,22-7501,summary_05-dec-2022.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/summary_05-dec-2022.pdf,4,CRIMINAL DAMAGE TO PROPERTY,2022-12-03,1000 BLOCK OF SOUTH BLVD.,41.8867347,-87.8032958,5,Zone 5,2022,12,3,2022-12-03
6078,22-7519,summary_05-dec-2022.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/summary_05-dec-2022.pdf,13,THEFT,2022-12-04,1200 BLOCK OF NORTH RIDGELAND AVE.,41.9074859,-87.78300089999999,1,Zone 1,2022,12,4,2022-12-04
6079,22-06948,24_hour_summary_report_for_08nov22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/24_hour_summary_report_for_08nov22.pdf,3,THEFT OF MOTOR VEHICLE PARTS & ACCESSORIES,2022-10-17,100 BLOCK OF SOUTH RIDGELAND AVE.,41.8869501,-87.78465949999999,4,Zone 4,2022,10,17,2022-10-17
6080,22-05862,summary_26sep2022_v2.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/summary_26sep2022_v2.pdf,18,THEFT OF MOTOR VEHICLE PARTS,2022-09-23,800 BLOCK OF SOUTH WESLEY AVE.,41.874206,-87.7912929,6,Zone 6,2022,9,23,2022-09-23
6081,22-5283,summary_1sep2022.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/summary_1sep2022.pdf,0,WARRANT ARREST,2022-08-31,100 BLOCK OF NORTH OAK PARK AVE.,41.8874516,-87.7943233,3,Zone 3,2022,8,31,2022-08-31
6082,22-03802,summary_1jul2022.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/summary_1jul2022.pdf,3,CRIMINAL DAMAGE TO PROPERTY,2022-06-30,900 BLOCK OF NORTH HUMPHREY AVE.,41.9021036,-87.77628059999999,1,Zone 1,2022,6,30,2022-06-30
6083,22-3032,24_hour_summary_report_for_02jun22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/24_hour_summary_report_for_02jun22.pdf,1,RECOVERED STOLEN MOTOR VEHICLE,2022-06-01,"5400 BLOCK OF W. CRYSTAL, CHICAGO, IL",41.9033351,-87.7611831,,,2022,6,1,2022-06-01
6084,22-0684,24_hour_summary_report_08feb22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/24_hour_summary_report_08feb22.pdf,5,BURGLARY TO GARAGE,2022-02-07,1100 BLOCK OF S HARVEY,41.8688975,-87.7801188,7,Zone 7,2022,2,7,2022-02-07
6085,22-0096,24_hour_summary_report_07jan22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/24_hour_summary_report_07jan22.pdf,0,CRIMINAL DAMAGE TO VEHICLE,2022-01-06,400 BLOCK OF S ELMWOOD AVE.,41.881376,-87.78587999999999,4,Zone 4,2022,1,6,2022-01-06
